;street_view_image_url;types_of_zones_80pct_confidence;building_styles_80pct_confidence;condition_score;natural_light;image_caption
0;https://maps.googleapis.com/maps/api/streetview?location=160+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;italianate, not single family;;False;view of property
1;https://maps.googleapis.com/maps/api/streetview?location=161+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building, front house;not single family, french country;;False;view of building exterior
2;https://maps.googleapis.com/maps/api/streetview?location=162+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family;;False;view of property
3;https://maps.googleapis.com/maps/api/streetview?location=163+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family;;False;view of building exterior
4;https://maps.googleapis.com/maps/api/streetview?location=164+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family, unfinished, oriental, raised beach house;;False;view of property
5;https://maps.googleapis.com/maps/api/streetview?location=165+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family;;False;view of property
6;https://maps.googleapis.com/maps/api/streetview?location=166+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building, garage;not single family;;False;view of building exterior
7;https://maps.googleapis.com/maps/api/streetview?location=167+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family;;False;view of property
8;https://maps.googleapis.com/maps/api/streetview?location=168+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family, unfinished, oriental, art deco;;False;view of building exterior
9;https://maps.googleapis.com/maps/api/streetview?location=169+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family, italianate;;False;view of property
10;https://maps.googleapis.com/maps/api/streetview?location=170+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family;;False;view of property
11;https://maps.googleapis.com/maps/api/streetview?location=171+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;view of street, garage, community, parking, yard;obstructed view;;False;view of street
12;https://maps.googleapis.com/maps/api/streetview?location=172+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family;;False;view of building exterior
13;https://maps.googleapis.com/maps/api/streetview?location=173+Carrer+d%27Aribau%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family, art deco, italianate, french country, victorian;;False;view of property
