;street_view_image_url;types_of_zones_80pct_confidence;building_styles_80pct_confidence;condition_score;natural_light;image_caption
0;https://maps.googleapis.com/maps/api/streetview?location=1+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;community, playground, front house, property exterior, yard;manufactured  mobile, unfinished, contemporary, italianate, raised ranch;;False;view of surrounding community
1;https://maps.googleapis.com/maps/api/streetview?location=2+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family;;False;view of property
2;https://maps.googleapis.com/maps/api/streetview?location=3+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;community, gate;contemporary, manufactured  mobile, not single family, italianate, no distinct style;;False;view of surrounding community
3;https://maps.googleapis.com/maps/api/streetview?location=4+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family;;False;view of building exterior
4;https://maps.googleapis.com/maps/api/streetview?location=5+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;community, gate;contemporary, manufactured  mobile, not single family, italianate, no distinct style;;False;view of home's community
5;https://maps.googleapis.com/maps/api/streetview?location=6+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;community, view of street, outdoor building, parking, front house;not single family;;False;view of home's community
6;https://maps.googleapis.com/maps/api/streetview?location=7+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;community, gate;contemporary, manufactured  mobile, not single family, italianate, no distinct style;;False;view of property's community
7;https://maps.googleapis.com/maps/api/streetview?location=8+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building, parking;manufactured  mobile, not single family, unfinished, oriental, no distinct style;;False;view of building exterior
8;https://maps.googleapis.com/maps/api/streetview?location=9+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;front house, outdoor building;italianate, victorian, mediterranean  spanish, not single family, french country;;False;view of front of house
9;https://maps.googleapis.com/maps/api/streetview?location=10+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;parking, front house, outdoor building, community;not single family, no distinct style, obstructed view, cape cod, manufactured  mobile;;False;view of parking
10;https://maps.googleapis.com/maps/api/streetview?location=11+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;front house;mediterranean  spanish, italianate, not single family;;False;view of front facade
11;https://maps.googleapis.com/maps/api/streetview?location=12+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;obstructed view, not single family, manufactured  mobile, pueblo revival, no distinct style;;False;view of property
12;https://maps.googleapis.com/maps/api/streetview?location=13+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;front house;pueblo revival, mediterranean  spanish, italianate, obstructed view, french country;4.5;False;view of front facade
13;https://maps.googleapis.com/maps/api/streetview?location=14+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;front house;unfinished, manufactured  mobile, contemporary, art deco, colonial;;False;view of front of home
14;https://maps.googleapis.com/maps/api/streetview?location=15+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;view of street;obstructed view;;False;view of street
15;https://maps.googleapis.com/maps/api/streetview?location=16+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;outdoor building;not single family, italianate, french country;;False;view of property
16;https://maps.googleapis.com/maps/api/streetview?location=17+Av.+del+Tibidabo%2C+Barcelona%2C+Catalunya&size=1000x800&key=AIzaSyCASkpJn-jhL07GOLo_SGsuuj6eh5tOP2M;front house;not single family, french country, italianate, split level;4.1;False;view of front of property
